SAMPLE	GENOME	model	RDSdC	UBCdC	DESC	TF_TYPE	EXP
ET_9mem_1	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2072025	1372	Conj_Control	Conjugation	Control
ET_9mem_1	pHLL250	NewPrimer_mariner	4693	6	Conj_Control	Conjugation	Control
ET_9mem_1	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	272	2	Conj_Control	Conjugation	Control
ET_9mem_1	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	pHLL249	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_1	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_9mem_10	pHLL250	NewPrimer_mariner	2132907	43405	Electro_Single	Electroporation	Experimental
ET_9mem_10	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	111512	1431	Electro_Single	Electroporation	Experimental
ET_9mem_10	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	9566	109	Electro_Single	Electroporation	Experimental
ET_9mem_10	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	3460	24	Electro_Single	Electroporation	Experimental
ET_9mem_10	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	2693	20	Electro_Single	Electroporation	Experimental
ET_9mem_10	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	1875	17	Electro_Single	Electroporation	Experimental
