SAMPLE	GENOME	model	RDSdC	UBCdC	BCPR	BCPRdC	DESC	CONC	EXP
BR_1_1_A_Kcurve_1	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	1886154	958	0.00083261	0.000507912	A	0.01	Treatment
BR_1_1_A_Kcurve_1	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	241007	71	0.000340224	0.000294597	A	0.01	Treatment
BR_1_1_A_Kcurve_1	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	18865	1	5.3e-05	5.3e-05	A	0.01	Treatment
BR_1_1_A_Kcurve_1	pHLL250	NewPrimer_mariner	9977	8	0.000901894	0.000801844	A	0.01	Treatment
BR_1_1_A_Kcurve_1	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	3391	2	0.000589797	0.000589797	A	0.01	Treatment
BR_1_1_A_Kcurve_1	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	pHLL249	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	Pseudomonas_simiae_WCS417_GCF_000698265.1	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_A_Kcurve_1	Sinorhizobium_meliloti_1021_GCF_000006965.1	NewPrimer_mariner	0	0	0	0	A	0.01	Treatment
BR_1_1_B_Kcurve_1	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	2033973	978	0.000814847	0.000480832	B	0.01	Treatment
BR_1_1_B_Kcurve_1	Klebsiella_michiganensis_M5a1_GCF_002090195.1	NewPrimer_mariner	262375	73	0.000335379	0.000278228	B	0.01	Treatment
BR_1_1_B_Kcurve_1	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	NewPrimer_mariner	20603	4	0.000194146	0.000194146	B	0.01	Treatment
BR_1_1_B_Kcurve_1	pHLL250	NewPrimer_mariner	10468	8	0.000859681	0.000764234	B	0.01	Treatment
BR_1_1_B_Kcurve_1	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	NewPrimer_mariner	3205	1	0.000312012	0.000312012	B	0.01	Treatment
BR_1_1_B_Kcurve_1	AMD830_Bacillus_Bacilli_39_7.contigs	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	AMD835_Microbacterium_Actinobacteria_70_608.contigs	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	E.coli_WM3604_scaffold_min1000	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	Methylobacterium_sp_UNC378MF_GCF_900103195.1	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	pBFC0882_Barcoded_VcCas	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
BR_1_1_B_Kcurve_1	pHLL249	NewPrimer_mariner	0	0	0	0	B	0.01	Treatment
