SAMPLE	GENOME	MEAN_COV	COM_FRAC
BR_1_1_A_Kcurve_1	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_1_A_Kcurve_1	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_1_B_Kcurve_1	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_1_B_Kcurve_1	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_2_A_Kcurve_2	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_2_A_Kcurve_2	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_2_B_Kcurve_2	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_2_B_Kcurve_2	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_3_A_Kcurve_3	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_3_A_Kcurve_3	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_3_B_Kcurve_3	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_3_B_Kcurve_3	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_4_A_Kcurve_4	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_4_A_Kcurve_4	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_4_B_Kcurve_4	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_4_B_Kcurve_4	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_5_A_Kcurve_5	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_5_A_Kcurve_5	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_5_B_Kcurve_5	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_5_B_Kcurve_5	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_6_A_Kcurve_6	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_6_A_Kcurve_6	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_6_B_Kcurve_6	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_6_B_Kcurve_6	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_7_A_Kcurve_7	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_7_A_Kcurve_7	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_7_B_Kcurve_7	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_7_B_Kcurve_7	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_8_A_Kcurve_8	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_8_A_Kcurve_8	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_8_B_Kcurve_8	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_8_B_Kcurve_8	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_9_A_Kcurve_9	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_9_A_Kcurve_9	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_9_B_Kcurve_9	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_9_B_Kcurve_9	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_10_A_Kcurve_10	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_10_A_Kcurve_10	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_10_B_Kcurve_10	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_10_B_Kcurve_10	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_11_A_Kcurve_11	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_11_A_Kcurve_11	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_11_B_Kcurve_11	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_11_B_Kcurve_11	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_12_A_Kcurve_12	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_12_A_Kcurve_12	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_12_B_Kcurve_12	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_12_B_Kcurve_12	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_13_A_Kcurve_13	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_13_A_Kcurve_13	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_13_B_Kcurve_13	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.26503786	0.00085988
BR_1_13_B_Kcurve_13	Klebsiella_michiganensis_M5a1_GCF_002090195.1	46.61765082	0.151244714
BR_1_14_A_Kcurve_14	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_14_A_Kcurve_14	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_14_B_Kcurve_14	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.232778503	0.00092193
BR_1_14_B_Kcurve_14	Klebsiella_michiganensis_M5a1_GCF_002090195.1	39.1983358	0.155246823
BR_1_15_A_Kcurve_15	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_15_A_Kcurve_15	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
BR_1_15_B_Kcurve_15	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	0.349046835	0.001018159
BR_1_15_B_Kcurve_15	Klebsiella_michiganensis_M5a1_GCF_002090195.1	51.58309733	0.150466307
