SAMPLE	GENOME	model	RDSdC	UBCdC	DESC	TF_TYPE	EXP
ET_SCN_1	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	NewPrimer_mariner	1861705	428	Conj_Control	Conjugation	Control
ET_SCN_1	pHLL250	NewPrimer_mariner	472	2	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_inoc_reactora_Parvibaculum_lavamentivorans_64_9	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_inoc_reactorb_Clostridiales_33_7	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_inoc_reactorb_Micrococcales_71_5	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t0_Stenotrophomonas_maltophilia_67_6	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Bacteria_60_83	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Bacteroidetes_44_32	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Cellulomonas_74_9	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Enterobacter_55_10	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Flavobacteriales_36_17	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Gammaproteobacteria_65_65	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Legionellales_40_39	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
ET_SCN_1	2019_SCN_bioreactor_t1_biofilm_Microbacterium_71_12	NewPrimer_mariner	0	0	Conj_Control	Conjugation	Control
