SAMPLE	GENOME	TOT_RDS	TOT_BP	Size	MEAN_COV	COM_FRAC
BR_30_ET_16	AMD830_Bacillus_Bacilli_39_7.contigs	1	11	5285864	2.08102213753513e-06	7.8755995744008e-09
BR_30_ET_16	AMD835_Microbacterium_Actinobacteria_70_608.contigs	4	128	3973113	3.2216551605756e-05	1.21923095164897e-07
BR_30_ET_16	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	0	0	4712276	0	0
BR_30_ET_16	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	7771	1165237	6293399	0.185152252383807	0.000700706145202477
BR_30_ET_16	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	2	300	7381819	4.06403895841933e-05	1.53802993797971e-07
BR_30_ET_16	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	2	300	5018507	5.97787349903069e-05	2.26231797997839e-07
BR_30_ET_16	E.coli_WM3604_scaffold_min1000	10	1499	4612074	0.000325016467645576	1.2300203386085e-06
BR_30_ET_16	Klebsiella_michiganensis_M5a1_GCF_002090195.1	10206536	1530464167	5800138	263.866854030025	0.998600469362983
BR_30_ET_16	Methylobacterium_sp_UNC378MF_GCF_900103195.1	2	26	6358020	4.08932340571436e-06	1.54759880218177e-08
BR_30_ET_16	Pseudomonas_simiae_WCS417_GCF_000698265.1	4	599	6169071	9.70972776938375e-05	3.6746330809667e-07
BR_30_ET_16	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	5	612	5087452	0.000120295975274066	4.55258459091992e-07
BR_30_ET_16	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
BR_30_ET_16	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
BR_30_ET_16	pHLL249	0	0	4808	0	0
BR_30_ET_16	pHLL250	6	900	4892	0.183973834832379	0.000696246440233897
BR_30_ET_17	AMD830_Bacillus_Bacilli_39_7.contigs	0	0	5285864	0	0
BR_30_ET_17	AMD835_Microbacterium_Actinobacteria_70_608.contigs	7	209	3973113	5.26035881687735e-05	2.04963807275616e-07
BR_30_ET_17	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	0	0	4712276	0	0
BR_30_ET_17	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	5460	818281	6293399	0.130022107290512	0.000506616127682367
BR_30_ET_17	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	1	14	7381819	1.89655151392902e-06	7.38969398327053e-09
BR_30_ET_17	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	0	0	5018507	0	0
BR_30_ET_17	E.coli_WM3604_scaffold_min1000	31	4633	4612074	0.00100453722121544	3.91406329069788e-06
BR_30_ET_17	Klebsiella_michiganensis_M5a1_GCF_002090195.1	9915511	1486767490	5800138	256.33312345327	0.998772417297209
BR_30_ET_17	Methylobacterium_sp_UNC378MF_GCF_900103195.1	1	12	6358020	1.88738003340663e-06	7.3539583684263e-09
BR_30_ET_17	Pseudomonas_simiae_WCS417_GCF_000698265.1	0	0	6169071	0	0
BR_30_ET_17	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	0	0	5087452	0	0
BR_30_ET_17	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
BR_30_ET_17	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
BR_30_ET_17	pHLL249	0	0	4808	0	0
BR_30_ET_17	pHLL250	6	900	4892	0.183973834832379	0.00071683280435847
BR_30_ET_18	AMD830_Bacillus_Bacilli_39_7.contigs	0	0	5285864	0	0
BR_30_ET_18	AMD835_Microbacterium_Actinobacteria_70_608.contigs	6	192	3973113	4.8324827408634e-05	1.62234433594567e-07
BR_30_ET_18	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	0	0	4712276	0	0
BR_30_ET_18	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	11190	1677607	6293399	0.266566127461488	0.000894906552661275
BR_30_ET_18	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	2	300	7381819	4.06403895841933e-05	1.36436505597869e-07
BR_30_ET_18	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	3	313	5018507	6.23691468398869e-05	2.09383535419262e-07
BR_30_ET_18	E.coli_WM3604_scaffold_min1000	44	6599	4612074	0.0014308096530975	4.80346451502151e-06
BR_30_ET_18	Klebsiella_michiganensis_M5a1_GCF_002090195.1	11499078	1724181575	5800138	297.265612473358	0.997969798400997
BR_30_ET_18	Methylobacterium_sp_UNC378MF_GCF_900103195.1	0	0	6358020	0	0
BR_30_ET_18	Pseudomonas_simiae_WCS417_GCF_000698265.1	0	0	6169071	0	0
BR_30_ET_18	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	5	615	5087452	0.000120885661427371	4.05833147535881e-07
BR_30_ET_18	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
BR_30_ET_18	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
BR_30_ET_18	pHLL249	0	0	4808	0	0
BR_30_ET_18	pHLL250	11	1646	4892	0.336467702371218	0.00112957769420419
BR_30_ET_19	AMD830_Bacillus_Bacilli_39_7.contigs	0	0	5285864	0	0
BR_30_ET_19	AMD835_Microbacterium_Actinobacteria_70_608.contigs	5	151	3973113	3.80054632224153e-05	1.50138662663318e-07
BR_30_ET_19	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	0	0	4712276	0	0
BR_30_ET_19	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	9810	1471101	6293399	0.233753016454225	0.000923429483771031
BR_30_ET_19	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	2	28	7381819	3.79310302785804e-06	1.49844619078582e-08
BR_30_ET_19	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	2	300	5018507	5.97787349903069e-05	2.36152872933703e-07
BR_30_ET_19	E.coli_WM3604_scaffold_min1000	7	1047	4612074	0.000227012836307483	8.96802742572815e-07
BR_30_ET_19	Klebsiella_michiganensis_M5a1_GCF_002090195.1	9780863	1466686165	5800138	252.870908416317	0.998953750251684
BR_30_ET_19	Methylobacterium_sp_UNC378MF_GCF_900103195.1	1	13	6358020	2.04466170285718e-06	8.07733277369512e-09
BR_30_ET_19	Pseudomonas_simiae_WCS417_GCF_000698265.1	4	600	6169071	9.72593766549291e-05	3.84218254543642e-07
BR_30_ET_19	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	0	0	5087452	0	0
BR_30_ET_19	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
BR_30_ET_19	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
BR_30_ET_19	pHLL249	0	0	4808	0	0
