SAMPLE	GENOME	TOT_RDS	TOT_BP	Size	MEAN_COV	COM_FRAC
ET_9mem_1	AMD830_Bacillus_Bacilli_39_7.contigs	6	792	5285864	0.000149833593902529	3.83291104236291e-05
ET_9mem_1	AMD835_Microbacterium_Actinobacteria_70_608.contigs	23	3262	3973113	0.000821018682327938	0.000210025768688972
ET_9mem_1	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	11	1597	4712276	0.000338902050728777	8.66949379431416e-05
ET_9mem_1	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	346	47367	6293399	0.007526457483468	0.0019253520687107
ET_9mem_1	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	162	21278	7381819	0.00288248736524155	0.000737372532016626
ET_9mem_1	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	150	19658	5018507	0.00391710124146484	0.00100203834209777
ET_9mem_1	E.coli_WM3604_scaffold_min1000	5	624	4612074	0.000135297048572941	3.46104994192216e-05
ET_9mem_1	Klebsiella_michiganensis_M5a1_GCF_002090195.1	140984	18817957	5800138	3.24439815052676	0.829953361798519
ET_9mem_1	Methylobacterium_sp_UNC378MF_GCF_900103195.1	4	595	6358020	9.35825933230786e-05	2.39394748519698e-05
ET_9mem_1	Pseudomonas_simiae_WCS417_GCF_000698265.1	21980	2916259	6169071	0.472722554173878	0.120927720591535
ET_9mem_1	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	6779	896143	5087452	0.176147706160176	0.045060554875794
ET_9mem_1	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_1	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_1	pHLL249	0	0	4808	0	0
ET_9mem_1	pHLL250	0	0	4892	0	0
ET_9mem_2	AMD830_Bacillus_Bacilli_39_7.contigs	6	827	5285864	0.000156455027976505	4.53349583238486e-05
ET_9mem_2	AMD835_Microbacterium_Actinobacteria_70_608.contigs	27	3580	3973113	0.000901056677723488	0.000261093347144805
ET_9mem_2	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	35	4933	4712276	0.00104684021054794	0.000303336095558697
ET_9mem_2	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	240	32911	6293399	0.00522944755290424	0.00151530308698847
ET_9mem_2	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	170	23396	7381819	0.00316940851570595	0.000918378941406456
ET_9mem_2	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	137	18531	5018507	0.00369253246035126	0.00106996117264203
ET_9mem_2	E.coli_WM3604_scaffold_min1000	2	154	4612074	3.33906177567836e-05	9.67538265781184e-06
ET_9mem_2	Klebsiella_michiganensis_M5a1_GCF_002090195.1	105411	14480130	5800138	2.49651473809761	0.723398877430294
ET_9mem_2	Methylobacterium_sp_UNC378MF_GCF_900103195.1	4	602	6358020	9.46835650092324e-05	2.74358422938735e-05
ET_9mem_2	Pseudomonas_simiae_WCS417_GCF_000698265.1	21130	2880506	6169071	0.466927030017972	0.135298415908513
ET_9mem_2	Ralstonia_sp_UNC404CL21Col_GCF_000620465.1	17681	2408016	5087452	0.473324564045027	0.137152187834177
ET_9mem_2	Sinorhizobium_meliloti_1021_GCF_000006965.1	0	0	6691694	0	0
ET_9mem_2	pBFC0882_Barcoded_VcCas	0	0	10718	0	0
ET_9mem_2	pHLL249	0	0	4808	0	0
ET_9mem_2	pHLL250	0	0	4892	0	0
ET_9mem_3	AMD830_Bacillus_Bacilli_39_7.contigs	4	576	5285864	0.000108969886474567	3.36044786470069e-05
ET_9mem_3	AMD835_Microbacterium_Actinobacteria_70_608.contigs	26	3615	3973113	0.000909865891053187	0.000280587324596993
ET_9mem_3	AMD837_Arthrobacter_Actinobacteria_63_1.contigs	38	5177	4712276	0.00109861986012704	0.00033879587127434
ET_9mem_3	Bacteroides_thetaiotaomicron_VPI_5482_GCF_000011065.1	252	35019	6293399	0.0055644016850036	0.00171596781144409
ET_9mem_3	Burkholderia_bryophila_376MFSha3.1_GCF_000383275.1	114	16691	7381819	0.00226109580849923	0.000697283885243685
ET_9mem_3	Dyella_japonica_UNC79MFTsu3.2_GCF_000620485.1	221	30679	5018507	0.00611317270255875	0.00188519955553544
