SAMPLE	GENOME	TOT_RDS	TOT_BP	Size	MEAN_COV	COM_FRAC
ET_SCN_7	2019_SCN_bioreactor_inoc_reactora_Parvibaculum_lavamentivorans_64_9	0	0	2169045	0	0
ET_SCN_7	2019_SCN_bioreactor_inoc_reactorb_Clostridiales_33_7	0	0	2768656	0	0
ET_SCN_7	2019_SCN_bioreactor_inoc_reactorb_Micrococcales_71_5	9350	1401817	2321692	0.603791114	0.002553478
ET_SCN_7	2019_SCN_bioreactor_t0_Stenotrophomonas_maltophilia_67_6	21	3150	2741033	0.001149202	4.86e-06
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Bacteria_60_83	2145	321542	4926059	0.06527368	0.000276047
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Bacteroidetes_44_32	52	7799	5604790	0.001391488	5.88e-06
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Cellulomonas_74_9	2259	338679	1978896	0.171145427	0.000723787
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Enterobacter_55_10	0	0	4531288	0	0
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Flavobacteriales_36_17	87	13046	3456031	0.00377485	1.6e-05
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Gammaproteobacteria_65_65	14639	2194894	3431684	0.639596769	0.002704903
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Legionellales_40_39	11	1648	3217128	0.000512258	2.17e-06
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Microbacterium_71_12	1629	244059	3035962	0.080389346	0.000339973
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Micrococcales_70_15	7	1050	2203065	0.000476609	2.02e-06
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Micrococcales_73_29	8305	1245206	3783799	0.329088834	0.001391741
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Pseudonocardia_dioxanivorans_73_113	228533	34259811	6259414	5.473325618	0.023147103
ET_SCN_7	2019_SCN_bioreactor_t1_biofilm_Verrucomicrobia_66_15	14	2100	4635063	0.000453068	1.92e-06
ET_SCN_7	2019_SCN_bioreactor_t1_planktonic_Alphaproteobacteria_67_63	4764	714385	5503510	0.129805342	0.000548957
ET_SCN_7	2019_SCN_bioreactor_t2_biofilm_Acidovorax_65_56	2214	332016	5190320	0.06396831	0.000270527
ET_SCN_7	2019_SCN_bioreactor_t2_biofilm_Alphaproteobacteria_70_37	4979	746442	4857358	0.153672429	0.000649892
ET_SCN_7	2019_SCN_bioreactor_t2_biofilm_Herbaspirillum_63_171	7624	1142916	5554569	0.205761419	0.00087018
ET_SCN_7	2019_SCN_bioreactor_t2_biofilm_Hyphomicrobium_denitrificans_61_11	22924	3436964	2933659	1.171562203	0.004954624
